Name	Blank	SRR6819014	SRR6819015	SRR6819016	SRR6819017	SRR6819018	SRR6819019	SRR6819020	SRR6819021	SRR6819022	SRR6819023
CHT11		7.677135665	7.785196028	7.232446825	7.850236453	8.416705609	8.071644766	8.01561331	8.29760284	8.351649328	8.256192982
HSC70CB_4		11.8790391	11.76029475	11.84102004	12.04830883	12.10660382	11.9452139	11.8404471	12.13588467	11.95052464	11.89606585
RPL7_2		15.51172869	15.46426393	15.97743786	15.6338334	15.05723722	15.13116026	15.32136696	14.95318491	14.88613001	14.76905925
ANP32A		9.658435232	9.932987328	9.4925974	10.14606374	10.11019502	10.09663901	10.09659317	10.0695667	10.07988815	9.97214481
HCFC1_2		5.274863092	5.205307683	5.50941854	5.43821327	4.909771986	4.995125187	4.681322714	5.174328236	4.509137941	5.437752006
PR-SET7		9.210401095	9.114229765	9.36653279	9.365159445	9.342157983	9.286078676	8.968320693	9.390624078	9.20168825	9.212304013
DESAT1_2		11.30978423	10.69286245	10.99426473	10.37665572	9.479165732	9.779223299	10.93923589	9.0999176	8.822577983	9.344896838
PCK1_2		5.938893106	5.631169528	5.132107854	5.480303004	5.83138212	5.564929394	5.482572898	6.742954116	6.070833888	5.744400602
SMC1_5		10.70394962	10.55792811	10.43809516	10.59470801	10.46115442	10.50564803	10.99575949	10.39624643	10.70181681	10.55478362
GRK3		5.622832417	5.631169528	0	4.869792732	5.454947898	5.324427725	5.445947069	5.043919716	5.643428603	5.876307576
TMCO6		8.270359223	7.935854006	8.176286632	8.18529886	8.556889951	8.505920136	8.129699737	8.714176292	8.510805071	8.419186061
TEAD1		7.578103403	7.714443209	6.429138814	7.52786508	7.134301947	7.469775583	7.467333817	7.206349773	7.546603341	7.322918174
PGANT3		8.533789682	8.282514239	8.593343405	8.430432152	8.328164366	8.066764206	7.945190307	8.158768517	8.273447013	7.987430839
PABPN1_1		10.13949784	10.309359	10.64349858	10.41106362	10.6274087	10.76113404	10.28722612	10.66452194	10.53278554	10.49382601
CSL4		7.62295897	8.00270037	8.655607727	8.113566301	7.987672158	7.954989838	7.598266687	8.060999051	7.984036613	8.044637254
GPRK1_1		6.106202692	6.662370521	5.590120075	6.421479435	6.630484416	6.971276976	7.093999763	6.678480611	6.767506887	7.098171619
D2HGDH		8.64126568	8.666718059	8.710790913	8.307231399	8.291837199	8.345922282	8.373465519	8.189939406	8.190761511	8.225597656
TPX1		10.68952468	10.39781371	10.90736726	10.73277978	10.63071782	10.57689148	10.41233722	10.58321306	10.40154962	10.38590113
NACHRA7_3		4.9622209	5.120286772	0	4.144562851	5.303943969	5.257470245	3.317080333	4.053499212	4.771191398	5.129419563
LIS1		10.90120918	10.98204327	10.73396401	11.04908645	10.50653107	10.42021809	10.81459504	10.59272	10.54334768	10.48674784
GPRK1_2		8.853763386	8.816115132	8.067743369	8.639900691	8.83451888	8.873209646	9.037650107	8.895290248	8.968178022	8.968046217
C1QTNF2_35		0	4.161179411	4.273861212	5.103189641	3.88786533	3.047663839	3.470831107	4.609205065	3.045628917	3.977843574
ITPR2_4		4.9622209	4.161179411	5.55033352	4.428746885	3.956984842	4.039667271	4.154785853	4.411819589	4.67200614	4.470658809
EIF5A		14.198347	14.03774558	14.67184383	14.3845831	13.82691734	13.80303312	13.94178183	13.84952846	13.77984146	13.65024607
AKT1		10.13756694	10.24429798	10.12084796	10.09787411	10.01818372	9.844838121	10.02545728	9.830895799	9.873549329	9.931017199
AKR1A1		6.365742486	6.007690087	6.083784919	6.054452555	7.289750336	6.907194411	6.762846433	7.457544981	6.655131863	7.245737186
CASP8_1		5.21752121	6.077011292	6.291115636	5.207103714	5.569732981	6.402419792	5.746256832	6.387218751	6.270513502	6.421012789
WDR45		10.86198626	10.66967416	11.03717635	10.68858217	10.08146231	10.11920755	10.78832054	10.1833281	10.50423587	10.41872902
